Tacgia,Link,Ngaysinh,Quote
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"It is our choices, Harry, that show what we truly are, far more than our abilities."
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,Try not to become a man of success. Rather become a man of value.
André Gide,http://quotes.toscrape.com//author/Andre-Gide,1869-11-22,It is better to be hated for what you are than to be loved for what you are not.
Thomas A. Edison,http://quotes.toscrape.com//author/Thomas-A-Edison,1847-02-11,"I have not failed. I've just found 10,000 ways that won't work."
Eleanor Roosevelt,http://quotes.toscrape.com//author/Eleanor-Roosevelt,1884-10-11,A woman is like a tea bag; you never know how strong it is until it's in hot water.
Steve Martin,http://quotes.toscrape.com//author/Steve-Martin,1945-08-14,"A day without sunshine is like, you know, night."
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,"If you can't explain it to a six year old, you don't understand it yourself."
